,social_p,social_r,ILO_total,ILO_social,year,share1,PV_EST,PV_PER_RNK,PV_PER_RNK_UPPER,PV_STD_ERR,GE_EST,GE_PER_RNK,GE_PER_RNK_UPPER,GE_STD_ERR,RQ_EST,RQ_PER_RNK,RQ_PER_RNK_UPPER,RQ_STD_ERR,remittance_usd,remittance_gdp,gdp,incomeLevel,region,is_eca,gini,FSR,social_p_est1,social_p_est2,social_p_est2_nofsr,social_p_est2_fsr,social_p_est3,social_p_est4,social_p_est,social_r_est
Aruba,,,17.8,8.2,2009.0,,1.23760342597961,92.71844482421879,99.51690673828129,0.246550291776657,0.8617030382156371,75.0,88.9952163696289,0.351513624191284,1.3036171197891202,89.4230804443359,98.08612060546879,0.35368475317955,7262569.83240223,0.205352568744474,3671232222.3658094,High income: nonOECD,Latin America & Caribbean (all income levels),False,,False,0.45536472915496146,0.4192862878670543,0.42648080498179786,,0.4213692791322181,0.3814848013227268,0.4213692791322181,0.15351889292394574
Australia,0.578,0.126,18.16,10.55,2011.0,0.0703,1.08170700073242,87.3786392211914,98.06763458251949,0.19970490038394895,1.59063577651978,91.8269195556641,98.5645904541016,0.227214962244034,1.86974799633026,98.0769195556641,100.0,0.22925907373428306,2332173408.22539,0.160322590215181,1077876758733.47,High income: OECD,East Asia & Pacific (all income levels),False,34.94,False,0.5604838076214045,0.5262719020656138,0.5329138924674452,,0.5254213132972663,0.4024210961134182,0.5254213132972663,0.1719264045738458
Austria,0.51716638,0.40816435,27.89,20.37,2011.0,0.08460000000000001,1.29413449764252,96.1165084838867,99.51690673828129,0.19970490038394895,1.56816124916077,91.3461532592773,98.5645904541016,0.227214962244034,1.49040281772614,91.3461532592773,97.60765838623051,0.22925907373428306,3315217869.04092,0.7588263658727349,407488547351.2271,High income: OECD,Europe & Central Asia (all income levels),True,30.48,False,0.6174551227600203,0.5561667599426614,0.5645775212999087,,0.5547841446042883,0.5776207295139046,0.5547841446042883,0.17860225914751857
Azerbaijan,0.8571289621356334,0.38777251599754,8.27,7.26,2011.0,0.08130000000000001,-0.5018325448036189,29.1262130737305,39.613525390625,0.209124550223351,-0.338886708021164,42.3076934814453,55.5023918151855,0.202686712145805,-0.292720913887024,43.75,53.5885162353516,0.181738942861557,1846424000.0,2.45541600941371,167060963449.105,Upper middle income,Europe & Central Asia (all income levels),True,16.64,True,0.3184736364951717,0.48539077767566957,,0.6211181479492682,0.4957019573326065,0.5144497274370875,0.4957019573326065,0.23062486731276374
"Bahamas, The",,,6.29,2.79,2011.0,,1.01949751377106,83.980583190918,97.5845413208008,0.224102810025215,0.7204801440238949,74.038459777832,86.6028671264648,0.30557569861412,0.120297312736511,55.288459777832,71.291862487793,0.28226637840271,,,8998371151.65021,High income: nonOECD,Latin America & Caribbean (all income levels),False,,False,,,,,0.3508512265226881,0.33186345401901085,0.3508512265226881,0.13875337359565443
Bahrain,,,4.01,1.61,2010.0,,-0.9412155151367192,14.563106536865199,25.6038646697998,0.209124550223351,0.5909157991409301,72.5961532592773,77.9904327392578,0.233566015958786,0.6953192949295041,74.038459777832,81.8181838989258,0.23196355998516105,,,61968145298.4685,High income: nonOECD,Middle East & North Africa (all income levels),False,,False,,,,,0.3076475465644531,0.24628786459714005,0.3076475465644531,0.12998655517242735
Bangladesh,0.056762952438716034,0.0553770944413467,2.69,1.58,2011.0,0.0888,-0.8764197826385501,17.9611644744873,27.0531406402588,0.20479880273342105,-0.7706753611564641,21.634614944457997,36.8421058654785,0.19892506301403,-0.9414913654327388,18.269229888915998,28.708133697509798,0.183728620409966,14982837635.35,8.66628210688097,496758428046.522,Lower middle income,South Asia,False,31.98,False,0.16946315273120066,0.13927435162920587,0.12926003711382916,,0.13539590744779256,0.08448185824582442,0.13539590744779256,0.10051964722462264
Barbados,,,11.41,7.07,2010.0,,1.34683132171631,97.57281494140629,99.51690673828129,0.222926273941994,1.2298042774200402,87.0192337036133,94.2583694458008,0.287942260503769,0.314740478992462,63.461540222168,75.59808349609379,0.293250948190689,86634867.9140302,1.98954800583374,4550463946.66514,High income: nonOECD,Latin America & Caribbean (all income levels),False,,False,0.49396284544462066,0.46255560841686516,0.46531243227256136,,0.4604335188483889,0.41562939438110724,0.4604335188483889,0.15981650526813623
Belarus,0.4917469369193375,0.3101703987921827,15.8,11.8,2011.0,0.0937,0.123558208346367,51.94174575805661,61.835750579834006,0.213329136371613,-0.4958788454532621,35.0961532592773,49.7607650756836,0.237284064292908,-1.04488050937653,13.942307472228999,25.3588523864746,0.181581094861031,1231300000.0,1.61716853542046,172210703774.896,Upper middle income,Europe & Central Asia (all income levels),True,26.01,True,0.33790692322699734,0.48734035165862255,,0.4830388304541811,0.49971212888600297,0.4926560352470106,0.49971212888600297,0.2325359157022941
Belgium,0.65117317,0.402522585,29.73,21.09,2011.0,0.08349999999999999,0.7142764925956729,69.9029159545898,85.5072479248047,0.19970490038394895,1.39930188655853,88.46154022216801,95.2153091430664,0.227214962244034,1.17311203479767,85.0961532592773,91.86602783203129,0.22925907373428306,11452621808.0261,2.15458477315448,487824567598.337,High income: OECD,Europe & Central Asia (all income levels),True,27.59,False,0.6081393458789457,0.537915358118633,0.5445229727226957,,0.5352357941503136,0.5439709638688472,0.5352357941503136,0.17535121787368366
Belize,,,5.76,2.0,2011.0,,0.054302092641592005,48.058254241943395,60.386474609375,0.228040665388107,-0.6748394966125489,25.961538314819304,45.45454406738279,0.288527578115463,-0.509408593177795,32.692306518554695,48.3253593444824,0.22925898432731606,80334417.62386191,4.72790643934691,2960246534.69503,Upper middle income,Latin America & Caribbean (all income levels),False,53.26,False,0.1807063833978671,0.15747049185350656,0.1547940263514771,,0.1589882634573735,0.18230502985586416,0.1589882634573735,0.1051441148163834
Benin,0.04725879624981513,0.07452986615849086,4.2,1.98,2010.0,0.0614,0.0495711229741573,47.0873794555664,60.386474609375,0.22739322483539606,-0.4989975392818449,34.134616851806605,46.4114837646484,0.205733001232147,-0.5064962506294249,33.1730766296387,46.8899536132813,0.18583470582962,216722446.392434,2.26333548082285,21516703864.2467,Low income,Sub-Saharan Africa (all income levels),False,43.44,False,0.18751432042418753,0.17627758295197357,0.1772769132480876,,0.180623027440655,0.17135900640521984,0.180623027440655,0.10881381678708359
Bermuda,,,,,,,0.9573606252670293,81.5533981323242,98.06763458251949,0.27711081504821805,0.9215814471244808,77.4038467407227,93.3014373779297,0.459674477577209,0.8546114563941959,77.4038467407227,94.7368392944336,0.53016859292984,1290046674.18178,21.9761415330028,3402639659.10356,High income: nonOECD,North America,False,,False,,,,,,,,
Bhutan,,,5.2,2.17,2012.0,,0.996404945850372,82.5242691040039,97.5845413208008,0.222926273941994,0.270389497280121,62.5,72.7272720336914,0.21911846101284,-1.01059651374817,15.384614944458,28.2296657562256,0.202806130051613,14292342.8904863,0.729646450654376,5979045312.08707,Lower middle income,South Asia,False,38.65,False,0.27594215414691065,0.2785773796478792,0.2807576470627919,,0.28191950924216586,0.19667725848744536,0.28191950924216586,0.1263458865243758
Bolivia,0.3472089336125369,0.2268693312429084,12.12,8.5,2010.0,0.0332,-0.36022564768791204,31.5533981323242,44.92753601074221,0.20479880273342105,-0.593755006790161,29.807691574096694,44.4976081848145,0.202521428465843,-0.8627397418022159,20.192308425903303,31.1004791259766,0.187134712934494,1183636844.46318,3.58719269292103,70023357901.2547,Lower middle income,Latin America & Caribbean (all income levels),False,48.06,False,0.30850073702511577,0.23662426331998718,0.24164594611181792,,0.2399845329682199,0.2361805694662805,0.2399845329682199,0.12263029906018114
Bosnia and Herzegovina,0.21952171315065594,0.12545992207249582,17.45,10.5,2011.0,0.0747,-0.0630331560969353,43.6893196105957,57.487922668457,0.221862941980362,-0.466256737709045,36.538459777831996,51.6746406555176,0.237307190895081,-0.0904240235686302,49.519229888915994,59.330142974853494,0.18052043020725306,2086007002.48892,11.2626395040776,39805250328.4324,Upper middle income,Europe & Central Asia (all income levels),True,33.04,True,0.3802850735758468,0.4995247432325804,,0.5038057011571427,0.4977285720620941,0.501487202359209,0.4977285720620941,0.23190248181744663
Botswana,0.2327888197915706,0.04377653874540727,6.59,3.0,2010.0,0.0284,1.02189004421234,85.4368896484375,97.5845413208008,0.20479880273342105,0.321319609880447,64.9038467407227,72.7272720336914,0.190354973077774,0.6411272287368771,72.1153869628906,79.4258346557617,0.17713303864002206,48271918.1540239,0.305260266568886,35739373871.6303,Upper middle income,Sub-Saharan Africa (all income levels),False,60.46,False,0.3074535649114816,0.30031393318541943,0.304424927241928,,0.30417482967933773,0.26611325352456305,0.30417482967933773,0.13096455320160472
Brazil,0.22567230651126025,0.2056113132070956,21.29,15.5,2010.0,0.0339,-0.013845750130713002,45.1456298828125,57.9710159301758,0.19970490038394895,-0.154615193605423,47.115383148193395,60.76554870605471,0.19348980486393,-0.0726001933217049,50.480770111084006,60.28708267211911,0.180651679635048,2645117591.01,0.10945455300806403,3275227247396.54,Upper middle income,Latin America & Caribbean (all income levels),False,52.87,False,0.39286093334006067,0.3178703775281253,0.3301819265796053,,0.3246362567440642,0.23686037068054483,0.3246362567440642,0.13860482407614277
Brunei Darussalam,,,2.31,0.71,2011.0,,1.26753747463226,95.1456298828125,99.51690673828129,0.224102810025215,1.0819981098175,81.7307662963867,91.3875579833984,0.30557569861412,0.969983637332916,79.8076934814453,90.4306182861328,0.28226637840271,,,29712111131.8222,High income: nonOECD,East Asia & Pacific (all income levels),False,,False,,,,,0.32938362216218575,0.28958271375353173,0.32938362216218575,0.13163216488231333
Bulgaria,0.66309464,0.404462695,17.2,12.88,2011.0,0.0641,0.0817534625530243,50.0,59.9033813476563,0.19970490038394895,0.0901186242699623,57.69230651855471,70.33493041992189,0.203877478837967,0.574401557445526,71.1538467407227,77.511962890625,0.17391468584537498,1684200000.0,2.96947718757395,124306334261.427,Upper middle income,Europe & Central Asia (all income levels),True,36.01,True,0.4195896557319616,0.5697780668916118,,0.5442758624629954,0.5777340299730939,0.5438838109870718,0.5777340299730939,0.24608260880605312
Burkina Faso,0.4946753901560933,0.3235166050780195,5.07,1.8,2011.0,0.0672,-0.78761887550354,19.4174766540527,29.9516906738281,0.20479880273342105,-0.558241128921509,30.769229888916,44.4976081848145,0.181937411427498,-0.33478885889053306,42.788459777831996,50.7177047729492,0.172010317444801,121456656.992969,0.968382297458875,28486420790.3168,Low income,Sub-Saharan Africa (all income levels),False,39.76,False,0.16594616635390766,0.1620638342358477,0.1649697712551872,,0.16850507251092472,0.1629808874153328,0.16850507251092472,0.10650355276182699
Burundi,,,4.94,2.05,2010.0,,-0.8936569094657901,17.4757289886475,27.0531406402588,0.21714462339878104,-1.0943067073822,14.903845787048304,21.5311012268066,0.190366923809052,-0.7730746269226071,24.519229888916,33.9712905883789,0.183794245123863,50791125.7243489,1.6417878963113202,8327707521.906079,Low income,Sub-Saharan Africa (all income levels),False,33.36,False,0.11898105619194704,0.099629132251503,0.10317380285319022,,0.10741411625961689,0.11274423650255472,0.10741411625961689,0.09639792931101528
Cabo Verde,,,,,,,0.407537847757339,59.708736419677706,72.4637680053711,0.222926273941994,-0.0055352621711790605,55.288459777832,65.5502395629883,0.20437653362751,-0.008326164446771141,52.88461685180661,64.1148300170898,0.203212887048721,,,,Lower middle income,Sub-Saharan Africa (all income levels),False,,False,,,,,,,,
Cambodia,0.02478883990859972,0.028243106138826062,2.23,0.79,2013.0,0.08990000000000001,-0.0399736948311329,44.66019439697271,57.9710159301758,0.21231350302696206,-0.678407967090607,25.480770111084,42.58373260498049,0.21009747684001895,-0.403112918138504,37.019229888916,49.2822952270508,0.18879687786102306,376750841.730954,2.24552912273434,50010187064.8871,Low income,East Asia & Pacific (all income levels),False,30.76,False,0.08790294215459002,0.1082973907710393,0.10594175819659885,,0.11309252548617023,0.11475071433419924,0.11309252548617023,0.09496061660066525
Cameroon,0.149924286778418,0.029862131888120688,2.33,0.81,2010.0,0.0635,-0.944601476192474,14.0776700973511,25.6038646697998,0.20479880273342105,-0.741300761699677,23.0769233703613,36.8421058654785,0.181937411427498,-0.9395648241043092,18.75,28.708133697509798,0.172010317444801,251296967.072975,0.7840578981503059,67686481733.970985,Lower middle income,Sub-Saharan Africa (all income levels),False,42.82,False,0.07540355792261667,0.0992096327364863,0.09954429948175998,,0.10640185336532558,0.13004988386485547,0.10640185336532558,0.09388100724347995
Canada,0.631,0.14,18.63,10.66,2010.0,0.071,1.1761554479599,91.2621383666992,99.0338134765625,0.19970490038394895,1.75971829891205,95.1923065185547,99.5215301513672,0.227214962244034,1.83091735839844,97.5961532592773,99.5215301513672,0.22925907373428306,1183943323.21151,0.0663129929573133,1601799527771.99,High income: OECD,North America,False,33.68,False,0.5803129778482604,0.548632163554164,0.5550870747062085,,0.5472047550038402,0.6470508071803208,0.5472047550038402,0.1756730547180514
Cape Verde,,,6.87,4.49,2010.0,,,,,,,,,,,,,,190644996.188476,10.188451980221599,3350426695.0049,,,,47.19,False,,,,,,,,
Cayman Islands,,,,,,,1.1083445549011202,87.86407470703129,99.51690673828129,0.2757649421691889,1.15667283535004,85.0961532592773,94.7368392944336,0.351513624191284,0.873406052589417,78.3653869628906,90.4306182861328,0.35368475317955,,,2823463451.74062,High income: nonOECD,Latin America & Caribbean (all income levels),False,,False,,,,,,,,
Central African Republic,,,2.55,0.62,2012.0,,-2.6726090908050497,0.485436886548996,4.8309178352356,0.22739322483539606,-1.84076488018036,1.44230771064758,5.741626739501951,0.20622076094150504,-1.41234695911407,5.769230842590329,12.4401912689209,0.18583470582962,158919.3046,0.0124274042139192,2854553718.71588,Low income,Sub-Saharan Africa (all income levels),False,56.24,False,-0.07772891370911716,-0.0579013841087608,-0.05486408239059161,,-0.04502449153482982,0.017041038429215977,-0.04502449153482982,0.06734359951046284
Chad,,,1.31,0.3,2010.0,,-1.5333858728408798,8.25242710113525,10.1449279785156,0.21714462339878104,-1.47953820228577,5.769230842590329,12.4401912689209,0.190753147006035,-1.16558480262756,10.576923370361301,20.0956935882568,0.183794245123863,724057.2572,0.0613692121280038,29647550191.624,Low income,Sub-Saharan Africa (all income levels),False,43.32,False,-0.09835247697360917,-0.046096207136818036,-0.04696635637031076,,-0.03508856895831369,0.04792112111231747,-0.03508856895831369,0.06720805239312864
Channel Islands,,,,,,,,,,,,,,,,,,,,,,High income: nonOECD,Europe & Central Asia (all income levels),True,,False,,,,,,,,
Chile,,,10.43,6.8,2011.0,,0.494097381830215,63.1067962646484,75.8454132080078,0.19970490038394895,1.14229202270508,84.1346130371094,90.4306182861328,0.20370927453041104,1.50275528430939,91.8269195556641,96.17224884033199,0.18661361932754505,136351353.000031,0.0528367621313252,392041113246.332,High income: OECD,Latin America & Caribbean (all income levels),False,50.45,False,0.4707301559406542,0.4464708718777411,0.45250466404453044,,0.4475165919910276,0.4058651902666805,0.4475165919910276,0.1575120869605722
China,,,6.83,5.56,2010.0,,-0.463141530752182,29.6116504669189,40.5797119140625,0.19970490038394895,0.33927541971206704,66.3461532592773,72.7272720336914,0.193689078092575,-0.266431450843811,45.19230651855471,54.066986083984396,0.180651679635048,29910500593.04,0.288855496398735,18017072919507.4,Upper middle income,East Asia & Pacific (all income levels),False,42.06,False,0.36242616985217174,0.33258657863146796,0.33923252770446877,,0.3366214471638825,0.26952114669000576,0.3366214471638825,0.13806372078853804
Colombia,0.12269429867232788,0.08732756485972662,10.49,8.58,2010.0,0.033,-1.12062191963196,10.6796112060547,19.3236713409424,0.19970490038394895,-0.108596839010715,49.519229888915994,61.72248840332029,0.19348980486393,0.5037139058113099,67.788459777832,75.59808349609379,0.180651679635048,4165731073.4183297,1.10280490085041,638356789320.285,Upper middle income,Latin America & Caribbean (all income levels),False,53.49,False,0.35239482896088953,0.29657912182776536,0.3046818301895446,,0.30149115438136637,0.28476063559474235,0.30149115438136637,0.133158865707874
Comoros,,,,,,,-0.194327488541603,38.834953308105504,56.038646697998,0.259716004133224,-1.66596710681915,1.92307686805725,9.56937789916992,0.242273434996605,-1.1386210918426498,11.057692527771001,24.8803825378418,0.228617683053017,120640549.255017,19.3411376715444,1100531416.22397,Low income,Sub-Saharan Africa (all income levels),False,55.93,False,,,,,,,,
"Congo, Dem. Rep.",0.012981287634021592,0.030175238221482683,3.48,0.73,2012.0,0.0547,-2.27385330200195,4.854369163513179,6.7632851600647,0.218231543898582,-1.59422886371613,4.32692289352417,9.56937789916992,0.19562509655952495,-1.34121513366699,7.692307472229,14.354066848754899,0.180995270609856,22378359.0977452,0.0675653245789699,55844108793.4396,Low income,Sub-Saharan Africa (all income levels),False,42.1,False,-0.03511061252987094,-0.017822676903177733,-0.014767272193530984,,-0.006011451078907909,0.04346302699885854,-0.006011451078907909,0.07441905894418895
"Congo, Rep.",0.1719690500661691,0.1521444160488617,2.79,1.4,2010.0,0.0561,-0.288736760616302,33.495143890380895,48.30917739868161,0.218231543898582,-1.14613842964172,13.4615383148193,20.0956935882568,0.19562509655952495,-1.18475639820099,10.0961542129517,19.6172256469727,0.180995270609856,14814296.0412737,0.176472258885412,28276523015.6873,Lower middle income,Sub-Saharan Africa (all income levels),False,40.16,False,0.07282850710308998,0.07224122374427082,0.0767786744935375,,0.08223290702751035,0.09849572133418635,0.08223290702751035,0.09113443328896409
Cook Islands,,,6.74,2.99,2010.0,,1.4507883787155198,96.69811248779301,100.0,0.585449457168579,-0.97529923915863,16.1137447357178,56.132076263427706,0.619420826435089,-1.1743232011795002,11.3744077682495,40.09434127807621,0.509559512138367,,,,,,,,False,,,,,0.1408556885009895,0.16456053372197194,0.1408556885009895,0.10306230921453338
Costa Rica,0.4696688141506717,0.20280860501907427,15.45,8.88,2010.0,0.0421,0.6307409405708311,67.47573089599611,82.125602722168,0.20479880273342105,0.399491399526596,69.2307662963867,74.1626815795898,0.21433082222938504,0.529294788837433,70.1923065185547,76.07655334472659,0.19378615915775305,593925384.378772,1.19857609067126,70974333846.9381,Upper middle income,Latin America & Caribbean (all income levels),False,49.18,False,0.41417737337549526,0.3644754150815755,0.3713968426551989,,0.3671062734557555,0.33565432511278276,0.3671062734557555,0.14445224530501993
Cote d'Ivoire,,,1.95,1.08,2011.0,,-1.01392209529877,12.621358871460002,23.6714973449707,0.20479880273342105,-0.7839424610137941,21.1538467407227,35.406700134277294,0.181937411427498,-0.623911678791046,29.3269233703613,41.626792907714794,0.172010317444801,378459816.981696,1.10487578077429,72193008164.3369,Lower middle income,Sub-Saharan Africa (all income levels),False,43.18,False,0.09684640234817087,0.10809862172784186,0.10918297049969877,,0.11511156867902725,0.1299615790960012,0.11511156867902725,0.09609478528115688
Croatia,0.549424,0.270493,20.96,14.78,2011.0,0.0801,0.6011953353881839,66.019416809082,78.7439651489258,0.19970490038394895,0.6935955286026,73.5576934814453,80.8612442016602,0.203877478837967,0.403088808059692,65.86538696289061,73.2057418823242,0.17391468584537498,2148831145.92115,3.76239472056644,91697894707.8663,High income: nonOECD,Europe & Central Asia (all income levels),True,31.98,False,0.5047342343118552,0.4311915488425297,0.43525845159499765,,0.4290408566835897,0.5857036148465973,0.4290408566835897,0.15631635831325816
Cuba,,,22.8,13.1,2010.0,,0.597639322280884,65.5339813232422,79.71014404296879,0.218231543898582,-0.0580551661550999,52.88461685180661,66.50717926025389,0.242710754275322,-1.35955381393433,7.2115383148193395,16.2679424285889,0.224365189671516,,,234193041471.328,Upper middle income,Latin America & Caribbean (all income levels),False,,False,,,,,0.32855570560272596,0.27215818732631614,0.32855570560272596,0.13884956990183897
Curacao,,,,,,,,,,,,,,,,,,,143301675.977654,,,High income: nonOECD,Latin America & Caribbean (all income levels),False,,False,,,,,,,,
Cyprus,,,22.6,19.47,2011.0,,0.686430633068085,68.93203735351561,85.5072479248047,0.209124550223351,1.13582336902618,83.17308044433591,90.90908813476558,0.24224652349948894,1.09493958950043,82.6923065185547,90.90908813476558,0.231513544917107,259621183.685067,1.1177964632021598,25826741996.4257,High income: nonOECD,Europe & Central Asia (all income levels),True,34.31,False,0.5657518650187725,0.49825807535707667,0.5068718449033726,,0.4981713967018354,0.5538922581213296,0.4981713967018354,0.16881910858755175
Czech Republic,0.40579885,0.45011736799999996,20.78,14.09,2011.0,0.0933,0.9668622016906742,82.03883361816409,96.1352691650391,0.19970490038394895,1.0230643749237098,80.288459777832,88.0382766723633,0.21992526948452,1.02332150936127,81.25,89.4736862182617,0.20716667175293,1892879189.8024,0.922142478872313,328242194833.479,High income: OECD,Europe & Central Asia (all income levels),True,26.13,False,0.5240314412224356,0.4676024397530788,0.47546547092822034,,0.46815931279076645,0.6262151701957276,0.46815931279076645,0.1628768393279052
Denmark,0.67680752,0.35351148299999996,30.58,22.98,2011.0,0.0913,0.943732380867004,79.6116485595703,95.1690826416016,0.19970490038394895,1.80664646625519,96.1538467407227,99.5215301513672,0.227214962244034,1.71629953384399,94.71154022216801,99.5215301513672,0.22925907373428306,1376648151.1260002,0.402102518968168,256758954335.87695,High income: OECD,Europe & Central Asia (all income levels),True,29.08,False,0.6533834655055529,0.5925238740204495,0.6014830020272235,,0.59069182825382,0.5358989372444682,0.59069182825382,0.1850393920954862
Djibouti,,,7.29,1.95,2007.0,,-0.717478454113007,21.844659805297894,32.8502426147461,0.234058693051338,-0.969767987728119,16.3461532592773,28.708133697509798,0.221418172121048,-0.5466656088829039,31.25,46.8899536132813,0.205981120467186,35922063.84034461,2.26063388963896,2865449040.57025,Lower middle income,Middle East & North Africa (all income levels),False,45.13,False,0.13213037632151312,0.11429790250664067,0.1163164034713659,,0.12063818233958808,0.09487092179197551,0.12063818233958808,0.09853026623794336
Dominica,,,7.99,3.8,2010.0,,1.11261796951294,88.34951782226558,99.51690673828129,0.27711081504821805,0.0655158013105392,56.730770111084006,72.7272720336914,0.351028442382813,0.231400921940804,61.05769348144529,74.1626815795898,0.2891108095645901,23551134.0781,4.4938559724996505,786877009.1338482,Upper middle income,Latin America & Caribbean (all income levels),False,,False,0.31966282710971344,0.2845992710263877,0.28327054085277287,,0.2835523681110372,0.2773228274220875,0.2835523681110372,0.12803910846998617
Dominican Republic,0.1917471414625228,0.11760695886439584,4.82,3.07,2010.0,0.0501,0.18772590160369895,54.3689308166504,64.7342987060547,0.20479880273342105,-0.430175870656967,37.019229888916,51.6746406555176,0.21433082222938504,-0.0355956330895424,51.44230651855471,62.6794242858887,0.19378615915775305,4810400000.0,7.5000991177498495,138006693872.949,Upper middle income,Latin America & Caribbean (all income levels),False,47.07,False,0.2596922274247589,0.2141276036151522,0.2080271124693019,,0.21074137374136004,0.2200024088425357,0.21074137374136004,0.1150649701363588
Ecuador,0.2792929608576753,0.17364544512629726,4.37,2.3,2010.0,0.043,-0.00955751910805702,45.6310691833496,58.937198638915994,0.213329136371613,-0.4989666044712071,34.615383148193395,48.3253593444824,0.221331492066383,-1.01880633831024,14.903845787048304,26.7942581176758,0.189289778470993,2472449389.28992,2.4499740136811297,180842611839.179,Upper middle income,Latin America & Caribbean (all income levels),False,47.29,False,0.20133371798111568,0.18382739502121112,0.18513350595330497,,0.18795677124236573,0.20383177923408122,0.18795677124236573,0.11044455325112065
