country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
China,13400.266968759399,1371220000.0,0.55614,5,0.2,1.5,0.06,0.8,0.05,0.8,0.8416666666666667,0.22921637913923992,20.0,0.1473363666102666
Colombia,12988.167696911101,48228704.0,0.76436,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7166666666666667,0.2797792564799715,20.0,0.08851235044244878
Comoros,1363.56307523138,788474.0,0.28296,5,0.2,1.5,0.06,0.8,0.05,0.26666666666666666,0.16666666666666666,0.197958724460889,20.0,0.02732553283489385
"Congo, Dem. Rep.",736.6802449029581,77266814.0,0.42494,5,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.23705600185809048,20.0,0.02922441269826722
"Congo, Rep.",5993.153100883521,4620330.0,0.6537999999999999,5,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.37275342390232385,20.0,0.14124589827296508
Costa Rica,14471.7864115698,4807850.0,0.7682100000000001,5,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,0.75,0.48189675491736383,20.0,0.16697744716845916
Cote d'Ivoire,3289.9880433869207,22701556.0,0.5418,5,0.2,1.5,0.06,0.8,0.05,0.4,0.45,0.5759764393620561,20.0,0.09706654291278806
Croatia,20429.9927083351,4224404.0,0.5896399999999999,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5583333333333333,0.23052247153165525,20.0,0.2899902769
Cyprus,30309.6348301381,1165300.0,0.6692100000000001,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.20174778291418224,20.0,0.34522653623
Czech Republic,29805.3327832638,10551219.0,0.72992,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.9,0.23979983157078164,20.0,0.44588494953099994
Denmark,43415.2294170316,5676002.0,0.87676,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.23010606402758518,20.0,0.38092698693759997
Djibouti,3120.04432799787,887861.0,0.7734300000000001,5,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.2605986206727131,20.0,0.0942011263430788
Dominican Republic,13374.908746258701,10528391.0,0.7898000000000001,5,0.2,1.5,0.06,0.8,0.05,0.6,0.5083333333333333,0.3771503990888722,20.0,0.12313455749292396
Ecuador,10717.598614963399,16144363.0,0.63742,5,0.2,1.5,0.06,0.8,0.05,0.8,0.4583333333333333,0.25747347179967145,20.0,0.18768757135223446
"Egypt, Arab Rep.",10249.9579136244,91508084.0,0.43135,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4583333333333333,0.4927783418827425,20.0,0.11750811006569908
El Salvador,8095.55898404423,6126583.0,0.6672600000000001,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.13424357530792413,20.0,0.19649546182483874
Estonia,26929.664035348,1311998.0,0.67538,5,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.2800603915970392,20.0,0.361123459231
Ethiopia,1529.89378255456,99390750.0,0.19472,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5916666666666667,0.3781161653838428,20.0,0.09903525175446172
Finland,38642.8123509235,5482013.0,0.84221,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8916666666666666,0.21799096857432496,20.0,0.3578792603155999
France,37305.690616923195,66808385.0,0.7951999999999999,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.95,0.2234491797478895,20.0,0.38543741446
Gabon,18831.901240866202,1725292.0,0.8715600000000001,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5916666666666667,0.3299123735952057,20.0,0.12625995590231884
Georgia,9109.256976975172,3679000.0,0.53641,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6166666666666667,0.3632651483124993,20.0,0.5675608267926918
Germany,44053.068121945595,81413145.0,0.7530100000000001,5,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27301744639675013,20.0,0.40512161073689995
Ghana,3953.2101802917896,27409893.0,0.54042,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5416666666666667,0.40793501657637044,20.0,0.17244602597907494
Greece,24617.0373269794,10823732.0,0.7800699999999999,5,0.2,1.5,0.06,0.8,0.05,0.8,0.4666666666666667,0.23679175031633581,20.0,0.49031052092099997
Guatemala,7252.9499659534495,16342897.0,0.51571,5,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.5833333333333333,0.6475627728005022,20.0,0.03925748863953801
Guinea,1135.48654988464,12608590.0,0.37161,5,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3510694892836516,20.0,0.07315949363738812
Honduras,4785.08630117149,8075060.0,0.5473,5,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.5666666666666667,0.3635926941047578,20.0,0.13879202700410176
Hungary,24474.488845737204,9844686.0,0.7122700000000001,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6666666666666667,0.22126941170098394,20.0,0.555862906
India,5730.13750491843,1311050527.0,0.32747,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.775,0.4525301642355351,20.0,0.11890031958518829
Indonesia,10385.3233228547,257563815.0,0.53742,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6083333333333334,0.30997681866727844,20.0,0.12573012643233528
"Iran, Islamic Rep.",16507.024248116002,79109272.0,0.73375,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.31799517747918205,20.0,0.13894089969118878
Iraq,14017.7737871676,36423395.0,0.69471,5,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.5840924714508963,20.0,0.11397677735314418
Ireland,51899.1998926683,4640703.0,0.63241,5,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.31125054927451323,20.0,0.5068029456956
Israel,31670.694322627598,8380400.0,0.9214,5,0.2,1.5,0.06,0.8,0.05,0.0,0.4,0.3584782813615938,20.0,0.17815591194491548
Italy,33587.122635679705,60802085.0,0.6896399999999999,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7166666666666667,0.2046119687179293,20.0,0.4149682944484999
Jamaica,8528.89633309343,2725941.0,0.54788,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4083333333333333,0.38100911347268046,20.0,0.15371927438302244
Japan,35804.2311968702,126958472.0,0.93498,5,0.2,1.5,0.06,0.8,0.05,0.8,0.8166666666666667,0.21044253355545398,20.0,0.21096848096488788
Jordan,10239.6642755055,7594547.0,0.8367899999999999,5,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,0.425,0.17572272222131016,20.0,0.20623407359476376
Kazakhstan,24352.846199855,17544126.0,0.53247,5,0.2,1.5,0.06,0.8,0.05,0.6,0.775,0.3305707553557686,20.0,0.0489670431234945
Kenya,2901.01294130716,46050302.0,0.25622,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5083333333333333,0.46296027315172006,20.0,0.07104047687720984
Kyrgyz Republic,3224.87761342378,5957000.0,0.35707,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4833333333333333,0.5202256666410198,20.0,0.27506045436293114
Lao PDR,5341.30791963949,6802023.0,0.38614,5,0.2,1.5,0.06,0.8,0.05,0.4,0.16666666666666666,0.2472988860728427,20.0,0.1265019377306789
Latvia,22628.4372652248,1978440.0,0.6738200000000001,5,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.2393699080806075,20.0,0.2547650484
Lesotho,2517.0102100867307,2135022.0,0.27312,5,0.2,1.5,0.06,0.8,0.05,0.4,0.16666666666666666,0.1992120956582078,20.0,0.08183701978968555
Liberia,786.916696961156,4503438.0,0.49701000000000006,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.4725120712732518,20.0,0.12570062311270505
Lithuania,26396.868079452,2910199.0,0.66508,5,0.2,1.5,0.06,0.8,0.05,0.0,0.35,0.3129644244946807,20.0,0.3470070992
Luxembourg,93552.60435358039,569676.0,0.9016,5,0.2,1.5,0.06,0.8,0.05,0.0,0.5,0.24723066038615737,20.0,0.38693944084119997
"Macedonia, FYR",12724.675281577,2078453.0,0.57104,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.2639321665831752,20.0,0.2661866591405015
Madagascar,1373.34402275422,24235390.0,0.35105,5,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.2940729838426214,20.0,0.09278017215039545
Malawi,1112.98730187659,17215232.0,0.16272000000000006,5,0.2,1.5,0.06,0.8,0.05,0.8,0.3333333333333333,0.25307656921941635,20.0,0.0233171837768202
Malaysia,25308.019304820402,30331007.0,0.74705,5,0.2,1.5,0.06,0.8,0.05,0.8,0.7666666666666666,0.2505940745612133,20.0,0.061807978423351846
Mali,2285.30721649845,17599694.0,0.39916,5,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.6438448659589122,20.0,0.05073640864642166
Mauritania,3693.5420412279705,4067564.0,0.59859,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23810597085800642,20.0,0.08645968254436041
Mauritius,18333.420203351598,1262605.0,0.39671,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7416666666666667,0.29481279169257346,20.0,0.3333112720757266
Mexico,16501.9411019056,127017224.0,0.79246,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.7666666666666666,0.36826304497677287,20.0,0.2764335542749225
Moldova,4741.82460255015,3554150.0,0.44995,5,0.2,1.5,0.06,0.8,0.05,0.6,0.375,0.25670477375728673,20.0,0.3689796333841148
Mongolia,11470.904857388301,2959134.0,0.7204,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5666666666666667,0.20767487925071607,20.0,0.2307588958596194
Montenegro,15010.4849682597,622388.0,0.64026,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.3648966623915853,20.0,0.3336608196279089
Morocco,7360.85645686603,34377511.0,0.60195,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.75,0.26925696721882303,20.0,0.13473615460588656
Namibia,9800.77994661223,2458830.0,0.4666,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6083333333333334,0.2751726819797061,20.0,0.13636260259223673
Nepal,2313.3927780006893,28513700.0,0.18615,5,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.2701993002713125,20.0,0.34521019721254276
Netherlands,46374.3682664594,16936520.0,0.90496,5,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.25251989485705195,20.0,0.3409211121335
Niger,897.395320524357,19899120.0,0.18732000000000001,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23359231685535525,20.0,0.06171302849044914
Nigeria,5638.88737884687,182201962.0,0.47776,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5916666666666667,0.8736444729486806,20.0,0.011061176841722656
Norway,64450.5386116153,5195921.0,0.8047300000000001,5,0.2,1.5,0.06,0.8,0.05,0.8,1.0,0.3359516873480029,20.0,0.315200031746
Pakistan,4744.848616652221,188924874.0,0.38758,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5416666666666667,0.3767173581299691,20.0,0.1304859771647132
Panama,20885.3394472478,3929141.0,0.66592,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.5402427160644628,20.0,0.11700974547208139
Paraguay,8643.68763275612,6639123.0,0.5966600000000001,5,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.3682732130696673,20.0,0.15109959435660095
Peru,11672.1423451017,31376670.0,0.78609,5,0.2,1.5,0.06,0.8,0.05,0.6,0.7666666666666666,0.27019867536419195,20.0,0.2001115383026213
Philippines,6925.52132355094,100699395.0,0.4437300000000001,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6333333333333333,0.27365718828027585,20.0,0.22592335653269693
Poland,24835.898044418398,37999494.0,0.60539,5,0.2,1.5,0.06,0.8,0.05,0.6,0.7916666666666667,0.41320263199936846,20.0,0.4967671843
Portugal,26690.0648211574,10348648.0,0.63468,5,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.19024226740462855,20.0,0.46200575272
Romania,19925.5385547787,19832389.0,0.5456399999999999,5,0.2,1.5,0.06,0.8,0.05,0.6,0.6916666666666667,0.2677480378213938,20.0,0.42337980070000003
Russian Federation,23895.3410009156,144096812.0,0.7400800000000001,5,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.3491630039272151,20.0,0.26006943104906677
Rwanda,1655.17535545677,11609666.0,0.28811,5,0.2,1.5,0.06,0.8,0.05,0.8,0.4833333333333333,0.712577817249879,20.0,0.07666513944054301
Senegal,2287.66844827349,15129273.0,0.43721,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.22621011201636318,20.0,0.2114122393008563
Serbia,12863.0793054276,7098247.0,0.5555300000000001,5,0.2,1.5,0.06,0.8,0.05,0.6,0.5083333333333333,0.2201204533701086,20.0,0.37059470080057
Sierra Leone,1496.94416821363,6453184.0,0.39942,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.3333333333333333,0.4068659912801502,20.0,0.029930764497342263
Slovak Republic,27394.197381682403,5424050.0,0.53598,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.625,0.30590188604179597,20.0,0.3929930851483999
Slovenia,28941.865861925802,2063768.0,0.4965,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.2213378830398852,20.0,0.36312076922500003
South Africa,12389.9568144333,54956920.3742456,0.6480100000000001,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.7166666666666667,0.41221819094326817,20.0,0.16854396487797754
Spain,32814.452074101,46418269.0,0.7957899999999999,5,0.2,1.5,0.06,0.8,0.05,0.8,0.7166666666666667,0.18299929671374224,20.0,0.43400015081919996
Sri Lanka,11047.666972348301,20966000.0,0.18356,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5083333333333333,0.33796080258900235,20.0,0.08815519674901537
Sudan,3927.4882937711104,40234882.0,0.33806,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.9487533644538989,20.0,0.05973195094869286
Swaziland,7930.358126322791,1286970.0,0.21308000000000005,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.19038060692098577,20.0,0.10952576823600582
Sweden,45296.4561784546,9798871.0,0.85815,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.357367643802592,20.0,0.35733395495500003
Switzerland,55111.9769299413,8286976.0,0.7391199999999999,5,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,1.0,0.28308540003621385,20.0,0.3191716832533
Syrian Arab Republic,4959.392523364486,18502413.0,0.5765600000000001,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.270750756517352,20.0,0.11661306905826238
Tajikistan,2616.19127204999,8481855.0,0.26781999999999995,5,0.2,1.5,0.06,0.8,0.05,0.6,0.3333333333333333,0.3854263244630784,20.0,0.23509852414132779
Tanzania,2510.23505743998,53470420.0,0.31608,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.41320436712274966,20.0,0.07647908156162009
Thailand,15345.3555945409,67959359.0,0.50374,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7416666666666667,0.24033636299972685,20.0,0.27178636995376343
Togo,1373.84086960653,7304578.0,0.39964,5,0.2,1.5,0.06,0.8,0.05,0.2,0.25,0.3708920312086315,20.0,0.09408494373781558
Tunisia,10726.142315035,11107800.0,0.66842,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5333333333333333,0.24926564326912068,20.0,0.1444306527713743
Turkey,18958.6249800275,78665830.0,0.7339699999999999,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.6916666666666667,0.4121669094199699,20.0,0.20902863839507538
Uganda,1717.8292061824402,39032383.0,0.16101,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5916666666666667,0.5735745521051661,20.0,0.10343571901468247
Ukraine,7449.767985374741,45198200.0,0.69695,5,0.2,1.5,0.06,0.8,0.05,0.0,0.05,0.2458541924399426,20.0,0.40549114953454457
United Kingdom,38657.7882730855,65138232.0,0.8259200000000001,5,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.30312817474804055,20.0,0.4345068755352
United States,52549.0065190667,321418820.0,0.8161700000000001,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.3187368533465751,20.0,0.11754
Uruguay,19952.2532471933,3431555.0,0.95311,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.6333333333333333,0.29188665397068997,20.0,0.3908345132071055
Uzbekistan,5642.82357778589,31299500.0,0.36365,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.730183656731034,20.0,0.24377931591260268
"Venezuela, RB",15602.8923660177,31108083.0,0.8898999999999999,5,0.2,1.5,0.06,0.8,0.05,0.0,0.05,0.3131698078545005,20.0,0.10489224021170805
Vietnam,5667.99805141727,91703800.0,0.3359300000000001,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.5916666666666667,0.2697045509948559,20.0,0.15111370263565843
"Yemen, Rep.",3663.3078294712404,26832215.0,0.34606000000000003,5,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,0.16666666666666666,0.2191314756601725,20.0,0.08078108964933904
Zambia,3625.806425944029,16211767.0,0.40922,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5416666666666667,0.425750249346411,20.0,0.08923157848547382
